,agent0_x,time,agent1_x,agent0_y,agent1_angle,agent0_angle,agent1_y
383,Attraction,follows,26.1452,21.5066,218.468,3.81299,1
384,Attraction,follows,26.252,21.6121,209.23,3.65174,1
385,Attraction,follows,26.1476,21.6129,196.459,3.42886,1
386,Attraction,follows,26.2545,21.7183,192.71400000000003,3.36349,1
387,Attraction,follows,26.15,21.7188,180.502,3.15035,1
388,Attraction,follows,26.0495,21.826,177.426,3.09667,1
389,Attraction,follows,26.0461,21.7195,174.36900000000003,3.04332,1
390,Attraction,follows,26.046,21.7192,168.40099999999998,2.9391599999999998,1
391,Attraction,follows,26.046,21.7192,168.40099999999998,2.9391599999999998,1
392,Attraction,follows,26.046,21.7192,168.40099999999998,2.9391599999999998,1
393,Attraction,follows,26.0465,21.7199,186.66299999999998,3.25789,1
394,Attraction,follows,26.0468,21.7202,198.52599999999998,3.4649300000000003,1
395,Attraction,follows,26.1452,21.5066,218.468,3.81299,1
396,Attraction,follows,26.1455,21.5064,226.8,3.9584099999999998,1
397,Attraction,follows,26.1394,21.2932,239.99900000000002,4.18876,1
398,Attraction,follows,26.1394,21.2932,239.99900000000002,4.18876,1
399,Attraction,follows,26.1394,21.2932,239.99900000000002,4.18876,1
400,Attraction,follows,26.1425,21.3998,233.26,4.07116,1
401,Attraction,follows,26.1422,21.4001,224.63099999999997,3.92055,1
402,Attraction,follows,26.1454,21.5065,222.298,3.87984,1
403,Attraction,follows,26.0414,21.5074,220.30599999999998,3.8450599999999997,1
404,Attraction,follows,25.9373,21.5084,218.467,3.81296,1
405,Attraction,follows,25.9404,21.6148,216.03900000000002,3.7706,1
406,Attraction,follows,25.8367,21.6156,222.618,3.88542,1
407,Attraction,follows,25.8372,21.6151,235.702,4.11378,1
